"StartDate","EndDate","Date","TaxonVersionKey","TaxonName","Projection","Precision","SiteName","Recorder","ZeroAbundance","UnderValidation","Sampling.method","County","Abundance_Simplified","Type","lon","lat"
2023-05-24,2023-05-24,2023-05-24,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"drombeg listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.48664352101468,52.4822512981447
2023-07-05,2023-07-05,2023-07-05,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"inchmoor bog listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.54468001803881,52.4581412438115
2021-01-05,2021-01-05,2021-01-05,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"ballahadigue listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.45365082118699,52.4637883937243
2021-12-13,2021-12-13,2021-12-13,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"cloonprohus listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.42354620829462,52.4884194388534
2022-02-01,2022-02-01,2022-02-01,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"inchmoor bog  listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.54305246435959,52.4536688950824
2022-03-06,2022-03-06,2022-03-06,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"coolatoosane listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.45235740192608,52.4691965213339
2022-06-21,2022-06-21,2022-06-21,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"shroneowen   bog listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.45931107399609,52.5014643356173
2015-09-02,2015-09-02,2015-09-02,"NHMSYS0020774297","Neovison vison","OSI",100,"raheen bridge","Patrick Smiddy","False","False","Scat collected","Cork","Unknown","Mammal",-8.93057055807123,52.2884245526084
2016-06-17,2016-06-17,2016-06-17,"NBNSYS0000005133","Lutra lutra","OSI",100,"riverstown","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.38668424743097,51.9283841220147
2017-01-21,2017-01-21,2017-01-21,"NBNSYS0000005133","Lutra lutra","OSI",100,"rockhouse bridge near ballinadee","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.63976736578104,51.7331529831125
2016-12-31,2016-12-31,2016-12-31,"NBNSYS0000005133","Lutra lutra","OSI",100,"tonafora near dunmanway","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-9.1226648208534,51.7106589745731
2015-04-13,2015-04-13,2015-04-13,"NBNSYS0000005133","Lutra lutra","OSI",100,"toor near clashmore","Patrick Smiddy","False","False","Spraint collected","Waterford","Unknown","Mammal",-7.73055036358808,52.0140861995502
2016-04-03,2016-04-03,2016-04-03,"NBNSYS0000005121","Mus musculus","OSI",100,"sheldon patricks hill cork","Paddy Sleeman","False","False","Trapped","Cork","Low","Mammal",-8.47075197630113,51.9047114128385
2017-01-27,2017-01-27,2017-01-27,"NBNSYS0000005133","Lutra lutra","OSI",100,"newport river blackwater","Patrick Smiddy","False","False","Sighting of live animal","Waterford","Low","Mammal",-7.85436199706349,52.0107099098372
2017-01-22,2017-01-22,2017-01-22,"NHMSYS0000080191","Meles meles","OSI",100,"raffeen","Patrick Smiddy","False","False","Road Kill","Cork","Low","Mammal",-8.37718006075549,51.834947297482
2020-07-08,2020-07-08,2020-07-08,"NHMSYS0000080190","Martes martes","OSI",100,"foxford","Patricia Timlin","False","False","Unknown","Mayo","Low","Mammal",-9.11271110653943,53.982467143451
2020-03-31,2020-03-31,2020-03-31,"NHMSYS0000080190","Martes martes","OSI",100,"ballymacrossan","Patrick Dowling","False","False","Sighting of live animal","Offaly","Low","Mammal",-7.34462563174802,53.1969609614725
2017-12-23,2017-12-23,2017-12-23,"NBNSYS0000005082","Sorex minutus","OSI",100,"kilkenny","Patrick McQuinn","False","False","Sighting of live animal","Kilkenny","Low","Mammal",-7.25812155088646,52.659100744327
2017-01-02,2017-01-02,2017-01-02,"NBNSYS0000005133","Lutra lutra","OSI",100,"aghaphona bridge near bandon","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.77544321032329,51.7952497129518
