RecordKey	SurveyKey	SampleKey	StartDate	EndDate	DateType	Date	TaxonVersionKey	TaxonName	GridReference	East	North	Projection	Precision	SiteKey	SiteName	Recorder	Determiner	ZeroAbundance	UnderValidation	ImagePath	Type of sighting	County	Vice-county	Habitat description	Abundance	Record comment	Life stage	Survey name
100708897597164526			13/04/2021	13/04/2021	D	13/04/2021	NBNSYS0000042516	Lepus timidus subsp. hibernicus	N825166	282550	216650	OSI	100		Old Connell / Little Connell	Deaglán de Paor		False	False			Kildare			4			
99982434916895948			08/09/2022	08/09/2022	D	08/09/2022	NHMSYS0000332764	Sciurus carolinensis	O146271	314650	227150	OSI	100		Rathfarnham	Dermot Hughes		False	False		Sighting of live animal	Dublin			1			
99679645628151916			30/10/2020	30/10/2020	D	30/10/2020	NHMSYS0000080190	Martes martes	S108578	210850	157850	OSI	100		Knockeen, Thurles	Jim Moloney		False	False			Tipperary			1			
99928969553387933			03/01/2022	03/01/2022	D	03/01/2022	NHMSYS0000332764	Sciurus carolinensis		-6.1881854000	53.3047148000	WGS84	100		Blackrock	John Brophy		False	False		Sighting of live animal	Dublin		Linear woodland/scrub	1			
98363975745410852			05/05/2018	05/05/2018	D	05/05/2018	NHMSYS0000080210	Apodemus sylvaticus	M999563	199950	256350	OSI	100		Rinnegan	John Brophy		False	False		Sighting of live animal	Roscommon			1			
c24fcc79-cf9c-11e7-93d7-00155d018200			17/11/2017	17/11/2017	D	17/11/2017	NHMSYS0000080188	Vulpes vulpes	O167322	316750	232250	OSI	100		Ranelagh	John Brophy		False	False		Sighting of live animal	Dublin			1			
24870567161107834			20/06/2016	20/06/2016	D	20/06/2016	NBNSYS0000005078	Erinaceus europaeus	O258180	325850	218050	OSI	100		Bray	John Brophy		False	False		Road Kill	Wicklow	Wicklow		1			
98363975745408504			07/10/2018	07/10/2018	D	07/10/2018	NHMSYS0000332764	Sciurus carolinensis	O163310	316350	231050	OSI	100		Milltown	John Brophy		False	False		Sighting of live animal	Dublin			4			
98363975745408397			30/04/2018	30/04/2018	D	30/04/2018	NHMSYS0000080212	Rattus norvegicus		-6.2486194600	53.3385940900	WGS84	100		Merrion Square, Dublin 2	John Brophy		False	False		Sighting of live animal	Dublin			1			
98363975745409215			18/06/2018	18/06/2018	D	18/06/2018	NBNSYS0000005133	Lutra lutra		-9.8679648200	54.0519870400	WGS84	100		Doona	John Brophy		False	False		Tracks or signs	Mayo						
98363975745410326			12/05/2018	12/05/2018	D	12/05/2018	NHMSYS0000080188	Vulpes vulpes	O282137	328250	213750	OSI	100		Greystones	John Brophy		False	False		Sighting of live animal	Wicklow			1			
99928969553388101			15/05/2022	15/05/2022	D	15/05/2022	NHMSYS0000332764	Sciurus carolinensis		-6.3132090000	53.2416874000	WGS84	100		Killakee Dublin 16	Drusilla Clesry		False	False		Sighting of live animal	Dublin		Semi-natural woodland	2			
99679645628151202			06/05/2021	06/05/2021	D	06/05/2021	NHMSYS0000080190	Martes martes	G958833	195850	383350	OSI	100		Tawnyvorgal	Emma Folan		False	False		Sighting of live animal	Donegal			1			
24870567161107711			10/06/2016	10/06/2016	D	10/06/2016	NHMSYS0000080172	Crocidura russula	M861010	186150	201050	OSI	100		Terryglass Harbour	Emmi Virkki		False	False		Sighting of live animal	Tipperary	South Tipperary		1			
